journey_id,train_id,train_type,timestamp,date,hour,day_of_week,is_weekend,section_id,from_station_id,to_station_id,section_distance_km,scheduled_running_time_min,max_sectional_speed_kmph,entry_speed_kmph,entry_delay_min,previous_section_delay_min,congestion_level,weather_condition,visibility_km,speed_restriction_active,restriction_speed_kmph,unscheduled_halt_active,unscheduled_halt_min,recovery_applied_min,historical_section_median_min,historical_section_p90_min,actual_section_running_time_min,section_delay_delta_min,exit_delay_min,data_source
JRN_20260701_12017,12017,SHATABDI,2026-07-01T06:45:00,2026-07-01,6,2,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,97.4,-1.92,0.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-6.12,SYNTHETIC_DATASET
JRN_20260701_12017,12017,SHATABDI,2026-07-01T07:11:48,2026-07-01,7,2,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,102.33,-6.12,-4.2,HIGH,CLEAR,10.0,0,,1,3.99,0.0,41.2,50.0,44.73,4.73,-1.39,SYNTHETIC_DATASET
JRN_20260701_12017,12017,SHATABDI,2026-07-01T07:59:31,2026-07-01,7,2,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,84.25,-1.39,4.73,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-8.14,SYNTHETIC_DATASET
JRN_20260701_12017,12017,SHATABDI,2026-07-01T08:40:46,2026-07-01,8,2,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,77.75,-8.14,-6.75,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,53.56,65.0,47.26,-4.74,-12.88,SYNTHETIC_DATASET
JRN_20260701_12017,12017,SHATABDI,2026-07-01T09:31:02,2026-07-01,9,2,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,86.35,-12.88,-4.74,HIGH,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,33.82,1.82,-11.06,SYNTHETIC_DATASET
JRN_20260701_12017,12017,SHATABDI,2026-07-01T10:07:51,2026-07-01,10,2,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,70.51,-11.06,1.82,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,42.4,-2.6,-13.66,SYNTHETIC_DATASET
JRN_20260701_12017,12017,SHATABDI,2026-07-01T10:53:15,2026-07-01,10,2,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,26.94,-13.66,-2.6,MEDIUM,CLEAR,10.0,1,30.0,0,0.0,0.0,70.04,85.0,138.88,70.88,57.22,SYNTHETIC_DATASET
JRN_20260701_12055,12055,SUPERFAST,2026-07-01T15:20:00,2026-07-01,15,2,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,94.57,-0.64,0.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-4.84,SYNTHETIC_DATASET
JRN_20260701_12055,12055,SUPERFAST,2026-07-01T15:46:48,2026-07-01,15,2,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,89.36,-4.84,-4.2,LOW,RAIN,3.9,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-10.84,SYNTHETIC_DATASET
JRN_20260701_12055,12055,SUPERFAST,2026-07-01T16:23:48,2026-07-01,16,2,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,84.98,-10.84,-6.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-17.59,SYNTHETIC_DATASET
JRN_20260701_12055,12055,SUPERFAST,2026-07-01T17:05:03,2026-07-01,17,2,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,88.83,-17.59,-6.75,LOW,CLEAR,10.0,0,,0,0.0,0.0,53.56,65.0,44.199999999999996,-7.8,-25.39,SYNTHETIC_DATASET
JRN_20260701_12055,12055,SUPERFAST,2026-07-01T17:52:15,2026-07-01,17,2,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,78.43,-25.39,-7.8,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,27.33,-4.67,-30.06,SYNTHETIC_DATASET
JRN_20260701_12055,12055,SUPERFAST,2026-07-01T18:22:34,2026-07-01,18,2,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,65.83,-30.06,-4.67,HIGH,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,53.84,8.84,-21.22,SYNTHETIC_DATASET
JRN_20260701_12055,12055,SUPERFAST,2026-07-01T19:19:25,2026-07-01,19,2,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,52.87,-21.22,8.84,LOW,CLEAR,10.0,0,,0,0.0,0.0,70.04,85.0,57.8,-10.2,-31.42,SYNTHETIC_DATASET
JRN_20260701_14041,14041,EXPRESS,2026-07-01T22:25:00,2026-07-01,22,2,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,91.1,0.87,0.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-3.33,SYNTHETIC_DATASET
JRN_20260701_14041,14041,EXPRESS,2026-07-01T22:51:48,2026-07-01,22,2,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,43.44,-3.33,-4.2,LOW,CLEAR,10.0,1,50.0,0,0.0,0.0,41.2,50.0,63.3,23.3,19.97,SYNTHETIC_DATASET
JRN_20260701_14041,14041,EXPRESS,2026-07-01T23:58:06,2026-07-01,23,2,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,94.84,19.97,23.3,LOW,CLEAR,10.0,0,,1,9.22,7.99,46.35,56.25,38.25,-6.75,13.22,SYNTHETIC_DATASET
JRN_20260701_14041,14041,EXPRESS,2026-07-02T00:39:21,2026-07-01,0,2,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,83.35,13.22,-6.75,LOW,CLEAR,10.0,0,,0,0.0,5.29,53.56,65.0,44.199999999999996,-7.8,5.42,SYNTHETIC_DATASET
JRN_20260701_14041,14041,EXPRESS,2026-07-02T01:26:33,2026-07-01,1,2,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,88.95,5.42,-7.8,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,28.24,-3.76,1.66,SYNTHETIC_DATASET
JRN_20260701_14041,14041,EXPRESS,2026-07-02T01:57:47,2026-07-01,1,2,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,69.91,1.66,-3.76,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-5.09,SYNTHETIC_DATASET
JRN_20260701_14041,14041,EXPRESS,2026-07-02T02:39:02,2026-07-01,2,2,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,52.51,-5.09,-6.75,MEDIUM,CLEAR,10.0,0,,1,9.32,0.0,70.04,85.0,79.06,11.06,5.97,SYNTHETIC_DATASET
JRN_20260701_14309,14309,PASSENGER,2026-07-01T11:15:00,2026-07-01,11,2,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,98.47,5.39,0.0,LOW,CLEAR,10.0,0,,0,0.0,2.16,28.84,35.0,23.8,-4.2,1.19,SYNTHETIC_DATASET
JRN_20260701_14309,14309,PASSENGER,2026-07-01T11:41:48,2026-07-01,11,2,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,98.26,1.19,-4.2,LOW,CLEAR,10.0,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-4.81,SYNTHETIC_DATASET
JRN_20260701_14309,14309,PASSENGER,2026-07-01T12:18:48,2026-07-01,12,2,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,84.46,-4.81,-6.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-11.56,SYNTHETIC_DATASET
JRN_20260701_14309,14309,PASSENGER,2026-07-01T13:00:03,2026-07-01,13,2,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,39.8,-11.56,-6.75,LOW,CLEAR,10.0,1,50.0,0,0.0,0.0,53.56,65.0,79.49,27.49,15.93,SYNTHETIC_DATASET
JRN_20260701_14309,14309,PASSENGER,2026-07-01T14:22:32,2026-07-01,14,2,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,78.29,15.93,27.49,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,27.2,-4.8,11.13,SYNTHETIC_DATASET
JRN_20260701_14309,14309,PASSENGER,2026-07-01T14:52:44,2026-07-01,14,2,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,69.92,11.13,-4.8,LOW,CLEAR,10.0,0,,0,0.0,4.45,46.35,56.25,38.25,-6.75,4.38,SYNTHETIC_DATASET
JRN_20260701_14309,14309,PASSENGER,2026-07-01T15:33:59,2026-07-01,15,2,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,51.35,4.38,-6.75,LOW,CLEAR,10.0,0,,0,0.0,1.75,70.04,85.0,57.8,-10.2,-5.82,SYNTHETIC_DATASET
JRN_20260702_12017,12017,SHATABDI,2026-07-02T06:45:00,2026-07-02,6,3,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,86.97,-1.7,0.0,LOW,CLEAR,10.0,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-5.9,SYNTHETIC_DATASET
JRN_20260702_12017,12017,SHATABDI,2026-07-02T07:11:48,2026-07-02,7,3,0,SEC_GZB_MTC,GZB,MTC,47.0,40.0,120.0,105.75,-5.9,-4.2,LOW,CLEAR,10.0,0,,0,0.0,0.0,41.2,50.0,34.0,-6.0,-11.9,SYNTHETIC_DATASET
JRN_20260702_12017,12017,SHATABDI,2026-07-02T07:48:48,2026-07-02,7,3,0,SEC_MTC_MOZ,MTC,MOZ,56.0,45.0,110.0,88.12,-11.9,-6.0,LOW,RAIN,5.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-18.65,SYNTHETIC_DATASET
JRN_20260702_12017,12017,SHATABDI,2026-07-02T08:30:03,2026-07-02,8,3,0,SEC_MOZ_SRE,MOZ,SRE,59.0,52.0,100.0,89.8,-18.65,-6.75,MEDIUM,CLEAR,10.0,0,,1,5.79,0.0,53.56,65.0,53.53,1.53,-17.12,SYNTHETIC_DATASET
JRN_20260702_12017,12017,SHATABDI,2026-07-02T09:26:34,2026-07-02,9,3,0,SEC_SRE_RK,SRE,RK,34.0,32.0,100.0,89.42,-17.12,1.53,MEDIUM,CLEAR,10.0,0,,0,0.0,0.0,32.96,40.0,28.29,-3.71,-20.83,SYNTHETIC_DATASET
JRN_20260702_12017,12017,SHATABDI,2026-07-02T09:57:52,2026-07-02,9,3,0,SEC_RK_HW,RK,HW,42.0,45.0,80.0,67.46,-20.83,-3.71,LOW,CLEAR,10.0,0,,0,0.0,0.0,46.35,56.25,38.25,-6.75,-27.58,SYNTHETIC_DATASET
JRN_20260702_12017,12017,SHATABDI,2026-07-02T10:39:07,2026-07-02,10,3,0,SEC_HW_DDN,HW,DDN,51.0,68.0,60.0,44.46,-27.58,-6.75,MEDIUM,CLEAR,10.0,1,50.0,0,0.0,0.0,70.04,85.0,82.79,14.79,-12.79,SYNTHETIC_DATASET
JRN_20260702_12055,12055,SUPERFAST,2026-07-02T15:20:00,2026-07-02,15,3,0,SEC_NDLS_GZB,NDLS,GZB,25.0,28.0,110.0,83.35,0.55,0.0,MEDIUM,RAIN,4.59,0,,0,0.0,0.0,28.84,35.0,23.8,-4.2,-3.65,SYNTHETIC_DATASET
