observation_id,timestamp,simulation_time_sec,train_id,route_id,data_source,data_quality_status,latitude,longitude,current_position_km,current_speed_kmph,current_speed_mps,target_speed_kmph,current_acceleration_mps2,braking_distance_m,section_speed_limit_kmph,restriction_speed_kmph,approach_speed_kmph,current_section_id,current_station_id,previous_station_id,next_station_id,distance_to_next_station_km,distance_to_destination_km,movement_state,station_event,actual_arrival_time,actual_departure_time,actual_dwell_min,current_delay_min,arrival_delay_min,departure_delay_min,signal_state,congestion_level,fog_active,fog_visibility_km,unscheduled_halt,active_event_ids,journey_id,predicted_congestion_probability,predicted_fog_risk,predicted_delay_risk,predicted_operational_risk,prediction_confidence,predicted_speed_impact,active_predicted_restriction,predicted_restriction_speed_kmph,eta_to_next_station_min,eta_to_destination_min,prediction_timestamp,prediction_horizon_min,prediction_source,target_eta_to_destination_min,target_eta_to_next_station_min
OBS_000001,08:10:00,0.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.6431,77.2197,0.542,38.0,10.56,38.0,0.5,92.8,110.0,40.0,329.95,SEC_NDLS_NZM,NDLS,NDLS,NZM,6.458,194.458,ACCELERATING,DEPARTED,,08:10:00,,0.0,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,10.2,307.0,08:10:00,30.0,BASELINE_HISTORICAL_CALIBRATION,169.0,10.5
OBS_000002,08:10:30,30.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.636454,77.223832,0.858,38.0,10.56,38.0,0.0,92.8,110.0,40.0,316.92,SEC_NDLS_NZM,,NDLS,NZM,6.142,194.142,CRUISING,,,,,0.22,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,9.7,306.5,08:10:30,30.0,BASELINE_HISTORICAL_CALIBRATION,168.5,10.0
OBS_000003,08:11:00,60.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.634002,77.225357,1.175,38.0,10.56,38.0,0.0,92.8,110.0,40.0,309.06,SEC_NDLS_NZM,,NDLS,NZM,5.825,193.825,CRUISING,,,,,0.56,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,9.2,306.0,08:11:00,30.0,BASELINE_HISTORICAL_CALIBRATION,168.0,9.5
OBS_000004,08:11:30,90.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.63155,77.226881,1.492,38.0,10.56,38.0,0.0,92.8,110.0,40.0,300.98,SEC_NDLS_NZM,,NDLS,NZM,5.508,193.508,CRUISING,,,,,0.9,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,8.7,305.5,08:11:30,30.0,BASELINE_HISTORICAL_CALIBRATION,167.5,9.0
OBS_000005,08:12:00,120.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.629098,77.228406,1.808,38.0,10.56,38.0,0.0,92.8,110.0,40.0,292.69,SEC_NDLS_NZM,,NDLS,NZM,5.192,193.192,CRUISING,,,,,1.24,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,8.2,305.0,08:12:00,30.0,BASELINE_HISTORICAL_CALIBRATION,167.0,8.5
OBS_000006,08:12:30,150.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.626646,77.22993,2.125,38.0,10.56,38.0,0.0,92.8,110.0,40.0,284.15,SEC_NDLS_NZM,,NDLS,NZM,4.875,192.875,CRUISING,,,,,1.57,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,7.7,304.5,08:12:30,30.0,BASELINE_HISTORICAL_CALIBRATION,166.5,8.0
OBS_000007,08:13:00,180.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.624195,77.231455,2.442,38.0,10.56,38.0,0.0,92.8,110.0,40.0,275.35,SEC_NDLS_NZM,,NDLS,NZM,4.558,192.558,CRUISING,,,,,1.91,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,7.2,304.0,08:13:00,30.0,BASELINE_HISTORICAL_CALIBRATION,166.0,7.5
OBS_000008,08:13:30,210.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.621743,77.232979,2.758,38.0,10.56,38.0,0.0,92.8,110.0,40.0,266.25,SEC_NDLS_NZM,,NDLS,NZM,4.242,192.242,CRUISING,,,,,2.25,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,6.7,303.5,08:13:30,30.0,BASELINE_HISTORICAL_CALIBRATION,165.5,7.0
OBS_000009,08:14:00,240.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.619291,77.234504,3.075,38.0,10.56,38.0,0.0,92.8,110.0,40.0,256.84,SEC_NDLS_NZM,,NDLS,NZM,3.925,191.925,CRUISING,,,,,2.59,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,6.2,303.0,08:14:00,30.0,BASELINE_HISTORICAL_CALIBRATION,165.0,6.5
OBS_000010,08:14:30,270.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.616839,77.236028,3.392,38.0,10.56,38.0,0.0,92.8,110.0,40.0,247.07,SEC_NDLS_NZM,,NDLS,NZM,3.608,191.608,CRUISING,,,,,2.92,,,GREEN,LOW,True,,False,,JRN_AGRA_01,0.2313,1.0,1.0,0.4541,1.0,MEDIUM,Predicted Fog Visibility Risk (Speed cap 40.0 km/h),40.0,5.7,302.5,08:14:30,30.0,BASELINE_HISTORICAL_CALIBRATION,164.5,6.0
