observation_id,timestamp,simulation_time_sec,train_id,route_id,data_source,data_quality_status,latitude,longitude,current_position_km,current_speed_kmph,current_speed_mps,target_speed_kmph,current_acceleration_mps2,braking_distance_m,section_speed_limit_kmph,restriction_speed_kmph,approach_speed_kmph,current_section_id,current_station_id,previous_station_id,next_station_id,distance_to_next_station_km,distance_to_destination_km,movement_state,station_event,actual_arrival_time,actual_departure_time,actual_dwell_min,current_delay_min,arrival_delay_min,departure_delay_min,signal_state,congestion_level,fog_active,fog_visibility_km,unscheduled_halt,active_event_ids,journey_id,predicted_congestion_probability,predicted_fog_risk,predicted_delay_risk,predicted_operational_risk,prediction_confidence,predicted_speed_impact,active_predicted_restriction,predicted_restriction_speed_kmph,eta_to_next_station_min,eta_to_destination_min,prediction_timestamp,prediction_horizon_min,prediction_source,target_eta_to_destination_min,target_eta_to_next_station_min
OBS_000001,08:10:00,0.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.6431,77.2197,0.675,54.0,15.0,104.5,0.5,187.5,110.0,,329.95,SEC_NDLS_NZM,NDLS,NDLS,NZM,6.325,194.325,ACCELERATING,DEPARTED,,08:10:00,,0.0,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,7.0,215.9,08:10:00,30.0,BASELINE_HISTORICAL_CALIBRATION,117.0,3.5
OBS_000002,08:10:30,30.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.629389,77.228225,1.771,104.5,29.03,104.5,0.5,702.2,110.0,,313.63,SEC_NDLS_NZM,,NDLS,NZM,5.229,193.229,ACCELERATING,,,,,0.15,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,3.0,110.9,08:10:30,30.0,BASELINE_HISTORICAL_CALIBRATION,116.5,3.0
OBS_000003,08:11:00,60.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.622646,77.232418,2.642,104.5,29.03,104.5,0.0,702.2,110.0,,285.17,SEC_NDLS_NZM,,NDLS,NZM,4.358,192.358,CRUISING,,,,,0.09,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,2.5,110.4,08:11:00,30.0,BASELINE_HISTORICAL_CALIBRATION,116.0,2.5
OBS_000004,08:11:30,90.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.615903,77.23661,3.513,104.5,29.03,104.5,0.0,702.2,110.0,,260.35,SEC_NDLS_NZM,,NDLS,NZM,3.487,191.488,CRUISING,,,,,0.15,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,2.0,109.9,08:11:30,30.0,BASELINE_HISTORICAL_CALIBRATION,115.5,2.0
OBS_000005,08:12:00,120.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.60916,77.240803,4.383,104.5,29.03,104.5,0.0,702.2,110.0,,232.89,SEC_NDLS_NZM,,NDLS,NZM,2.617,190.617,CRUISING,,,,,0.2,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,1.5,109.4,08:12:00,30.0,BASELINE_HISTORICAL_CALIBRATION,115.0,1.5
OBS_000006,08:12:30,150.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.602418,77.244995,5.254,104.5,29.03,104.5,0.0,702.2,110.0,,201.73,SEC_NDLS_NZM,,NDLS,NZM,1.746,189.746,CRUISING,,,,,0.25,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,1.0,108.9,08:12:30,30.0,BASELINE_HISTORICAL_CALIBRATION,114.5,1.0
OBS_000007,08:13:00,180.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.595675,77.249188,6.125,104.5,29.03,104.5,0.0,702.2,110.0,,164.78,SEC_NDLS_NZM,,NDLS,NZM,0.875,188.875,CRUISING,,,,,0.31,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,0.5,108.4,08:13:00,30.0,BASELINE_HISTORICAL_CALIBRATION,114.0,0.5
OBS_000008,08:13:30,210.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,104.5,0.0,0.0,110.0,,116.65,SEC_NDLS_NZM,NZM,NZM,FDB,21.0,188.0,DWELLING,ARRIVED,08:13:30,,,0.36,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:13:30,30.0,BASELINE_HISTORICAL_CALIBRATION,113.5,23.5
OBS_000009,08:14:00,240.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,0.41,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:14:00,30.0,BASELINE_HISTORICAL_CALIBRATION,113.0,23.0
OBS_000010,08:14:30,270.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,0.91,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:14:30,30.0,BASELINE_HISTORICAL_CALIBRATION,112.5,22.5
OBS_000011,08:15:00,300.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,1.41,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:15:00,30.0,BASELINE_HISTORICAL_CALIBRATION,112.0,22.0
OBS_000012,08:15:30,330.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,1.91,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:15:30,30.0,BASELINE_HISTORICAL_CALIBRATION,111.5,21.5
OBS_000013,08:16:00,360.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,2.41,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:16:00,30.0,BASELINE_HISTORICAL_CALIBRATION,111.0,21.0
OBS_000014,08:16:30,390.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,2.91,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:16:30,30.0,BASELINE_HISTORICAL_CALIBRATION,110.5,20.5
OBS_000015,08:17:00,420.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,3.41,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:17:00,30.0,BASELINE_HISTORICAL_CALIBRATION,110.0,20.0
OBS_000016,08:17:30,450.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,3.91,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:17:30,30.0,BASELINE_HISTORICAL_CALIBRATION,109.5,19.5
OBS_000017,08:18:00,480.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,4.41,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:18:00,30.0,BASELINE_HISTORICAL_CALIBRATION,109.0,19.0
OBS_000018,08:18:30,510.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,4.91,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:18:30,30.0,BASELINE_HISTORICAL_CALIBRATION,108.5,18.5
OBS_000019,08:19:00,540.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,5.41,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:19:00,30.0,BASELINE_HISTORICAL_CALIBRATION,108.0,18.0
OBS_000020,08:19:30,570.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.0,0.0,0.0,0.0,0.0,0.0,130.0,,0.0,SEC_NZM_FDB,NZM,NZM,FDB,21.0,188.0,DWELLING,,,,,5.91,,,GREEN,LOW,False,,False,,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,50.4,451.2,08:19:30,30.0,BASELINE_HISTORICAL_CALIBRATION,107.5,17.5
OBS_000021,08:20:00,600.0,12050,ROUTE_NDLS_AGC_01,SYNTHETIC_SIMULATOR,OK,28.5889,77.2534,7.675,54.0,15.0,71.25,0.5,187.5,130.0,,571.48,SEC_NZM_FDB,NZM,NZM,FDB,20.325,187.325,ACCELERATING,DEPARTED,,08:20:00,2,6.41,,,GREEN,LOW,False,,False,EVT_AGC_001,JRN_NDLS_AGC_01_20260902_190156,0.2313,0.0,0.4541,0.4541,1.0,NONE,NONE,,22.6,208.1,08:20:00,30.0,BASELINE_HISTORICAL_CALIBRATION,107.0,17.0
