observation_id,timestamp,elapsed_min,latitude,longitude,position_accuracy_m,speed_kmph,current_section_id,current_station_id,distance_from_origin_km,distance_to_next_station_km,distance_to_destination_km,current_delay_min,station_event,signal_status,congestion_level
OBS_00001,6:45:00,0,28.6431,77.2197,5.3,0,,NDLS,0,25,314,0,DEPARTED,CLEAR,LOW
OBS_00002,6:45:30,0.5,28.643939,77.227081,4.8,101.5,SEC_NDLS_GZB,,0.85,24.15,313.15,-0.45,,CLEAR,LOW
OBS_00003,6:46:00,1,28.644789,77.234552,6.2,102.8,SEC_NDLS_GZB,,1.7,23.3,312.3,-0.91,,CLEAR,LOW
OBS_00004,6:46:30,1.5,28.645662,77.242229,6.7,105.6,SEC_NDLS_GZB,,2.58,22.42,311.42,-1.39,,CLEAR,LOW
OBS_00005,6:47:00,2,28.646504,77.249638,5.3,101.9,SEC_NDLS_GZB,,3.43,21.57,310.57,-1.84,,CLEAR,LOW
OBS_00006,6:47:30,2.5,28.647344,77.257021,4.7,101.6,SEC_NDLS_GZB,,4.28,20.72,309.72,-2.29,,CLEAR,LOW
OBS_00007,6:48:00,3,28.648208,77.264621,4.1,104.5,SEC_NDLS_GZB,,5.15,19.85,308.85,-2.77,,CLEAR,LOW
OBS_00008,6:48:30,3.5,28.649056,77.27208,5.9,102.6,SEC_NDLS_GZB,,6,19,308,-3.22,,CLEAR,LOW
OBS_00009,6:49:00,4,28.649922,77.279698,4.7,104.8,SEC_NDLS_GZB,,6.88,18.12,307.12,-3.7,,CLEAR,LOW
OBS_00010,6:49:30,4.5,28.650791,77.287336,6.4,105.1,SEC_NDLS_GZB,,7.75,17.25,306.25,-4.18,,CLEAR,LOW
OBS_00011,6:50:00,5,28.651629,77.294708,6.4,101.4,SEC_NDLS_GZB,,8.6,16.4,305.4,-4.63,,CLEAR,LOW
OBS_00012,6:50:30,5.5,28.652503,77.302396,5,105.7,SEC_NDLS_GZB,,9.48,15.52,304.52,-5.12,,CLEAR,LOW
OBS_00013,6:51:00,6,28.653349,77.309836,6.9,102.3,SEC_NDLS_GZB,,10.33,14.67,303.67,-5.57,,CLEAR,LOW
OBS_00014,6:51:30,6.5,28.654205,77.317358,4.3,103.5,SEC_NDLS_GZB,,11.19,13.81,302.81,-6.04,,CLEAR,LOW
