observation_id,timestamp,simulation_time_sec,train_id,route_id,data_source,data_quality_status,latitude,longitude,current_position_km,current_speed_kmph,current_speed_mps,target_speed_kmph,current_acceleration_mps2,braking_distance_m,section_speed_limit_kmph,restriction_speed_kmph,approach_speed_kmph,current_section_id,current_station_id,previous_station_id,next_station_id,distance_to_next_station_km,distance_to_destination_km,movement_state,station_event,actual_arrival_time,actual_departure_time,actual_dwell_min,current_delay_min,arrival_delay_min,departure_delay_min,signal_state,congestion_level,fog_active,fog_visibility_km,unscheduled_halt,active_event_ids
OBS_000001,6:45:00,0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6431,77.2197,0.675,54,15,104.5,0.5,187.5,110,,623.54,SEC_NDLS_GZB,NDLS,NDLS,GZB,24.325,313.325,ACCELERATING,DEPARTED,,6:45:00,,-0.72,,0,GREEN,NONE,FALSE,,FALSE,
OBS_000002,6:45:30,30,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.644857,77.235149,1.771,104.5,29.03,104.5,0.5,702.2,110,,615.06,SEC_NDLS_GZB,,NDLS,GZB,23.229,312.229,ACCELERATING,,,,,-1.4,,,GREEN,NONE,FALSE,,FALSE,
OBS_000003,6:46:00,60,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.645721,77.242746,2.642,104.5,29.03,104.5,0,702.2,110,,601.05,SEC_NDLS_GZB,,NDLS,GZB,22.358,311.358,CRUISING,,,,,-1.84,,,GREEN,NONE,FALSE,,FALSE,
OBS_000004,6:46:30,90,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.646584,77.250343,3.513,104.5,29.03,104.5,0,702.2,110,,589.68,SEC_NDLS_GZB,,NDLS,GZB,21.488,310.488,CRUISING,,,,,-2.27,,,GREEN,NONE,FALSE,,FALSE,
OBS_000005,6:47:00,120,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.647448,77.25794,4.383,104.5,29.03,104.5,0,702.2,110,,578.08,SEC_NDLS_GZB,,NDLS,GZB,20.617,309.617,CRUISING,,,,,-2.7,,,GREEN,NONE,FALSE,,FALSE,
OBS_000006,6:47:30,150,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.648312,77.265537,5.254,104.5,29.03,104.5,0,702.2,110,,566.24,SEC_NDLS_GZB,,NDLS,GZB,19.746,308.746,CRUISING,,,,,-3.14,,,GREEN,NONE,FALSE,,FALSE,
OBS_000007,6:48:00,180,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.649176,77.273134,6.125,104.5,29.03,104.5,0,702.2,110,,554.15,SEC_NDLS_GZB,,NDLS,GZB,18.875,307.875,CRUISING,,,,,-3.57,,,GREEN,NONE,FALSE,,FALSE,
OBS_000008,6:48:30,210,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.65004,77.280732,6.996,104.5,29.03,104.5,0,702.2,110,,541.8,SEC_NDLS_GZB,,NDLS,GZB,18.004,307.004,CRUISING,,,,,-4.01,,,GREEN,NONE,FALSE,,FALSE,
OBS_000009,6:49:00,240,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.650904,77.288329,7.867,104.5,29.03,104.5,0,702.2,110,,529.15,SEC_NDLS_GZB,,NDLS,GZB,17.133,306.133,CRUISING,,,,,-4.44,,,GREEN,NONE,FALSE,,FALSE,
OBS_000010,6:49:30,270,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.651768,77.295926,8.737,104.5,29.03,104.5,0,702.2,110,,516.2,SEC_NDLS_GZB,,NDLS,GZB,16.263,305.262,CRUISING,,,,,-4.88,,,GREEN,NONE,FALSE,,FALSE,
OBS_000011,6:50:00,300,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.652631,77.303523,9.608,104.5,29.03,104.5,0,702.2,110,,502.91,SEC_NDLS_GZB,,NDLS,GZB,15.392,304.392,CRUISING,,,,,-5.31,,,GREEN,NONE,FALSE,,FALSE,
OBS_000012,6:50:30,330,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.653495,77.31112,10.479,104.5,29.03,104.5,0,702.2,110,,489.26,SEC_NDLS_GZB,,NDLS,GZB,14.521,303.521,CRUISING,,,,,-5.75,,,GREEN,NONE,FALSE,,FALSE,
OBS_000013,6:51:00,360,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.654359,77.318717,11.35,104.5,29.03,104.5,0,702.2,110,,475.21,SEC_NDLS_GZB,,NDLS,GZB,13.65,302.65,CRUISING,,,,,-6.18,,,GREEN,NONE,FALSE,,FALSE,
OBS_000014,6:51:30,390,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.655223,77.326315,12.221,104.5,29.03,104.5,0,702.2,110,,460.74,SEC_NDLS_GZB,,NDLS,GZB,12.779,301.779,CRUISING,,,,,-6.62,,,GREEN,NONE,FALSE,,FALSE,
OBS_000015,6:52:00,420,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.656087,77.333912,13.092,104.5,29.03,104.5,0,702.2,110,,445.8,SEC_NDLS_GZB,,NDLS,GZB,11.908,300.908,CRUISING,,,,,-7.05,,,GREEN,NONE,FALSE,,FALSE,
OBS_000016,6:52:30,450,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.656951,77.341509,13.963,104.5,29.03,104.5,0,702.2,110,,430.35,SEC_NDLS_GZB,,NDLS,GZB,11.037,300.038,CRUISING,,,,,-7.49,,,GREEN,NONE,FALSE,,FALSE,
OBS_000017,6:53:00,480,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.657815,77.349106,14.833,104.5,29.03,104.5,0,702.2,110,,414.31,SEC_NDLS_GZB,,NDLS,GZB,10.167,299.167,CRUISING,,,,,-7.92,,,GREEN,NONE,FALSE,,FALSE,
OBS_000018,6:53:30,510,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.658679,77.356703,15.704,104.5,29.03,104.5,0,702.2,110,,397.63,SEC_NDLS_GZB,,NDLS,GZB,9.296,298.296,CRUISING,,,,,-8.35,,,GREEN,NONE,FALSE,,FALSE,
OBS_000019,6:54:00,540,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.659542,77.3643,16.575,104.5,29.03,104.5,0,702.2,110,,380.22,SEC_NDLS_GZB,,NDLS,GZB,8.425,297.425,CRUISING,,,,,-8.79,,,GREEN,NONE,FALSE,,FALSE,
OBS_000020,6:54:30,570,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.660406,77.371897,17.446,104.5,29.03,104.5,0,702.2,110,,361.97,SEC_NDLS_GZB,,NDLS,GZB,7.554,296.554,CRUISING,,,,,-9.22,,,GREEN,NONE,FALSE,,FALSE,
OBS_000021,6:55:00,600,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.66127,77.379495,18.317,104.5,29.03,104.5,0,702.2,110,,342.76,SEC_NDLS_GZB,,NDLS,GZB,6.683,295.683,CRUISING,,,,,-9.66,,,GREEN,NONE,FALSE,,FALSE,
OBS_000022,6:55:30,630,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.662134,77.387092,19.188,104.5,29.03,104.5,0,702.2,110,,322.4,SEC_NDLS_GZB,,NDLS,GZB,5.812,294.812,CRUISING,,,,,-10.09,,,GREEN,NONE,FALSE,,FALSE,
OBS_000023,6:56:00,660,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.662998,77.394689,20.058,104.5,29.03,104.5,0,702.2,110,,300.66,SEC_NDLS_GZB,,NDLS,GZB,4.942,293.942,CRUISING,,,,,-10.53,,,GREEN,NONE,FALSE,,FALSE,
OBS_000024,6:56:30,690,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.663862,77.402286,20.929,104.5,29.03,104.5,0,702.2,110,,277.22,SEC_NDLS_GZB,,NDLS,GZB,4.071,293.071,CRUISING,,,,,-10.96,,,GREEN,NONE,FALSE,,FALSE,
OBS_000025,6:57:00,720,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.664726,77.409883,21.8,104.5,29.03,104.5,0,702.2,110,,251.61,SEC_NDLS_GZB,,NDLS,GZB,3.2,292.2,CRUISING,,,,,-11.4,,,GREEN,NONE,FALSE,,FALSE,
OBS_000026,6:57:30,750,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.665589,77.41748,22.671,104.5,29.03,104.5,0,702.2,110,,223.08,SEC_NDLS_GZB,,NDLS,GZB,2.329,291.329,CRUISING,,,,,-11.83,,,GREEN,NONE,FALSE,,FALSE,
OBS_000027,6:58:00,780,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.666453,77.425078,23.542,104.5,29.03,104.5,0,702.2,110,,190.32,SEC_NDLS_GZB,,NDLS,GZB,1.458,290.458,CRUISING,,,,,-12.27,,,GREEN,NONE,FALSE,,FALSE,
OBS_000028,6:58:30,810,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.667317,77.432675,24.412,104.5,29.03,104.5,0,702.2,110,,150.6,SEC_NDLS_GZB,,NDLS,GZB,0.588,289.587,CRUISING,,,,,-12.7,,,GREEN,NONE,FALSE,,FALSE,
OBS_000029,6:59:00,840,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.667378,77.433205,24.473,39.7,11.03,95.59,-0.6,101.3,110,,95.59,SEC_NDLS_GZB,,NDLS,GZB,0.527,289.527,DECELERATING,,,,,-12.27,,,GREEN,NONE,FALSE,,FALSE,
OBS_000030,6:59:30,870,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25,0,0,90.5,0,0,110,,90.5,SEC_NDLS_GZB,GZB,GZB,MTC,47,289,DWELLING,ARRIVED,6:59:30,,,-12.33,-13.5,,GREEN,NONE,FALSE,,FALSE,
OBS_000031,7:00:00,900,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25,0,0,0,0,0,120,,0,,GZB,GZB,MTC,47,289,DWELLING,,,,,-11.83,,,GREEN,NONE,FALSE,,FALSE,
OBS_000032,7:00:30,930,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25,0,0,0,0,0,120,,0,,GZB,GZB,MTC,47,289,DWELLING,,,,,-11.33,,,GREEN,NONE,FALSE,,FALSE,
OBS_000033,7:01:00,960,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25,0,0,0,0,0,120,,0,,GZB,GZB,MTC,47,289,DWELLING,,,,,-10.83,,,GREEN,NONE,FALSE,,FALSE,
OBS_000034,7:01:30,990,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25.675,54,15,114,0.5,187.5,120,,854.95,SEC_GZB_MTC,GZB,GZB,MTC,46.325,288.325,ACCELERATING,DEPARTED,,7:01:30,2,-11.06,,-13.5,GREEN,NONE,FALSE,,FALSE,
OBS_000035,7:02:00,1020,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.679853,77.447865,26.8,108,30,114,0.5,750,120,,848.79,SEC_GZB_MTC,,GZB,MTC,45.2,287.2,ACCELERATING,,,,,-11.76,,,GREEN,NONE,FALSE,,FALSE,
OBS_000036,7:02:30,1050,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.687655,77.454435,27.975,114,31.67,114,0.5,835.6,120,,838.42,SEC_GZB_MTC,,GZB,MTC,44.025,286.025,ACCELERATING,,,,,-12.52,,,GREEN,NONE,FALSE,,FALSE,
OBS_000037,7:03:00,1080,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.693964,77.459747,28.925,114,31.67,114,0,835.6,120,,827.45,SEC_GZB_MTC,,GZB,MTC,43.075,285.075,CRUISING,,,,,-13.04,,,GREEN,NONE,FALSE,,FALSE,
OBS_000038,7:03:30,1110,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.700272,77.465059,29.875,114,31.67,114,0,835.6,120,,818.48,SEC_GZB_MTC,,GZB,MTC,42.125,284.125,CRUISING,,,,,-13.56,,,GREEN,NONE,FALSE,,FALSE,
OBS_000039,7:04:00,1140,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.70658,77.47037,30.825,114,31.67,114,0,835.6,120,,809.4,SEC_GZB_MTC,,GZB,MTC,41.175,283.175,CRUISING,,,,,-14.08,,,GREEN,NONE,FALSE,,FALSE,
OBS_000040,7:04:30,1170,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.712889,77.475682,31.775,114,31.67,114,0,835.6,120,,800.22,SEC_GZB_MTC,,GZB,MTC,40.225,282.225,CRUISING,,,,,-14.6,,,GREEN,NONE,FALSE,,FALSE,
OBS_000041,7:05:00,1200,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.719197,77.480994,32.725,114,31.67,114,0,835.6,120,,790.94,SEC_GZB_MTC,,GZB,MTC,39.275,281.275,CRUISING,,,,,-15.12,,,GREEN,NONE,FALSE,,FALSE,
OBS_000042,7:05:30,1230,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.725506,77.486306,33.675,114,31.67,114,0,835.6,120,,781.54,SEC_GZB_MTC,,GZB,MTC,38.325,280.325,CRUISING,,,,,-15.64,,,GREEN,NONE,FALSE,,FALSE,
OBS_000043,7:06:00,1260,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.731814,77.491618,34.625,114,31.67,114,0,835.6,120,,772.03,SEC_GZB_MTC,,GZB,MTC,37.375,279.375,CRUISING,,,,,-16.16,,,GREEN,NONE,FALSE,,FALSE,
