observation_id,timestamp,simulation_time_sec,train_id,route_id,data_source,data_quality_status,latitude,longitude,current_position_km,current_speed_kmph,current_speed_mps,target_speed_kmph,current_acceleration_mps2,braking_distance_m,section_speed_limit_kmph,restriction_speed_kmph,approach_speed_kmph,current_section_id,current_station_id,previous_station_id,next_station_id,distance_to_next_station_km,distance_to_destination_km,movement_state,station_event,actual_arrival_time,actual_departure_time,actual_dwell_min,current_delay_min,arrival_delay_min,departure_delay_min,signal_state,congestion_level,fog_active,fog_visibility_km,unscheduled_halt,active_event_ids
OBS_000001,06:45:00,0.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6431,77.2197,0.675,54.0,15.0,104.5,0.5,187.5,110,,623.54,SEC_NDLS_GZB,NDLS,NDLS,GZB,24.325,313.325,ACCELERATING,DEPARTED,,06:45:00,,-0.72,,0.0,GREEN,NONE,False,,False,
OBS_000002,06:45:30,30.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.644857,77.235149,1.771,104.5,29.03,104.5,0.5,702.2,110,,615.06,SEC_NDLS_GZB,,NDLS,GZB,23.229,312.229,ACCELERATING,,,,,-1.4,,,GREEN,NONE,False,,False,
OBS_000003,06:46:00,60.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.645721,77.242746,2.642,104.5,29.03,104.5,0.0,702.2,110,,601.05,SEC_NDLS_GZB,,NDLS,GZB,22.358,311.358,CRUISING,,,,,-1.84,,,GREEN,NONE,False,,False,
OBS_000004,06:46:30,90.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.646584,77.250343,3.513,104.5,29.03,104.5,0.0,702.2,110,,589.68,SEC_NDLS_GZB,,NDLS,GZB,21.488,310.488,CRUISING,,,,,-2.27,,,GREEN,NONE,False,,False,
OBS_000005,06:47:00,120.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.647448,77.25794,4.383,104.5,29.03,104.5,0.0,702.2,110,,578.08,SEC_NDLS_GZB,,NDLS,GZB,20.617,309.617,CRUISING,,,,,-2.7,,,GREEN,NONE,False,,False,
OBS_000006,06:47:30,150.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.648312,77.265537,5.254,104.5,29.03,104.5,0.0,702.2,110,,566.24,SEC_NDLS_GZB,,NDLS,GZB,19.746,308.746,CRUISING,,,,,-3.14,,,GREEN,NONE,False,,False,
OBS_000007,06:48:00,180.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.649176,77.273134,6.125,104.5,29.03,104.5,0.0,702.2,110,,554.15,SEC_NDLS_GZB,,NDLS,GZB,18.875,307.875,CRUISING,,,,,-3.57,,,GREEN,NONE,False,,False,
OBS_000008,06:48:30,210.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.65004,77.280732,6.996,104.5,29.03,104.5,0.0,702.2,110,,541.8,SEC_NDLS_GZB,,NDLS,GZB,18.004,307.004,CRUISING,,,,,-4.01,,,GREEN,NONE,False,,False,
OBS_000009,06:49:00,240.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.650904,77.288329,7.867,104.5,29.03,104.5,0.0,702.2,110,,529.15,SEC_NDLS_GZB,,NDLS,GZB,17.133,306.133,CRUISING,,,,,-4.44,,,GREEN,NONE,False,,False,
OBS_000010,06:49:30,270.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.651768,77.295926,8.737,104.5,29.03,104.5,0.0,702.2,110,,516.2,SEC_NDLS_GZB,,NDLS,GZB,16.263,305.262,CRUISING,,,,,-4.88,,,GREEN,NONE,False,,False,
OBS_000011,06:50:00,300.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.652631,77.303523,9.608,104.5,29.03,104.5,0.0,702.2,110,,502.91,SEC_NDLS_GZB,,NDLS,GZB,15.392,304.392,CRUISING,,,,,-5.31,,,GREEN,NONE,False,,False,
OBS_000012,06:50:30,330.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.653495,77.31112,10.479,104.5,29.03,104.5,0.0,702.2,110,,489.26,SEC_NDLS_GZB,,NDLS,GZB,14.521,303.521,CRUISING,,,,,-5.75,,,GREEN,NONE,False,,False,
OBS_000013,06:51:00,360.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.654359,77.318717,11.35,104.5,29.03,104.5,0.0,702.2,110,,475.21,SEC_NDLS_GZB,,NDLS,GZB,13.65,302.65,CRUISING,,,,,-6.18,,,GREEN,NONE,False,,False,
OBS_000014,06:51:30,390.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.655223,77.326315,12.221,104.5,29.03,104.5,0.0,702.2,110,,460.74,SEC_NDLS_GZB,,NDLS,GZB,12.779,301.779,CRUISING,,,,,-6.62,,,GREEN,NONE,False,,False,
OBS_000015,06:52:00,420.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.656087,77.333912,13.092,104.5,29.03,104.5,0.0,702.2,110,,445.8,SEC_NDLS_GZB,,NDLS,GZB,11.908,300.908,CRUISING,,,,,-7.05,,,GREEN,NONE,False,,False,
OBS_000016,06:52:30,450.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.656951,77.341509,13.963,104.5,29.03,104.5,0.0,702.2,110,,430.35,SEC_NDLS_GZB,,NDLS,GZB,11.037,300.038,CRUISING,,,,,-7.49,,,GREEN,NONE,False,,False,
OBS_000017,06:53:00,480.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.657815,77.349106,14.833,104.5,29.03,104.5,0.0,702.2,110,,414.31,SEC_NDLS_GZB,,NDLS,GZB,10.167,299.167,CRUISING,,,,,-7.92,,,GREEN,NONE,False,,False,
OBS_000018,06:53:30,510.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.658679,77.356703,15.704,104.5,29.03,104.5,0.0,702.2,110,,397.63,SEC_NDLS_GZB,,NDLS,GZB,9.296,298.296,CRUISING,,,,,-8.35,,,GREEN,NONE,False,,False,
OBS_000019,06:54:00,540.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.659542,77.3643,16.575,104.5,29.03,104.5,0.0,702.2,110,,380.22,SEC_NDLS_GZB,,NDLS,GZB,8.425,297.425,CRUISING,,,,,-8.79,,,GREEN,NONE,False,,False,
OBS_000020,06:54:30,570.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.660406,77.371897,17.446,104.5,29.03,104.5,0.0,702.2,110,,361.97,SEC_NDLS_GZB,,NDLS,GZB,7.554,296.554,CRUISING,,,,,-9.22,,,GREEN,NONE,False,,False,
OBS_000021,06:55:00,600.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.66127,77.379495,18.317,104.5,29.03,104.5,0.0,702.2,110,,342.76,SEC_NDLS_GZB,,NDLS,GZB,6.683,295.683,CRUISING,,,,,-9.66,,,GREEN,NONE,False,,False,
OBS_000022,06:55:30,630.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.662134,77.387092,19.188,104.5,29.03,104.5,0.0,702.2,110,,322.4,SEC_NDLS_GZB,,NDLS,GZB,5.812,294.812,CRUISING,,,,,-10.09,,,GREEN,NONE,False,,False,
OBS_000023,06:56:00,660.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.662998,77.394689,20.058,104.5,29.03,104.5,0.0,702.2,110,,300.66,SEC_NDLS_GZB,,NDLS,GZB,4.942,293.942,CRUISING,,,,,-10.53,,,GREEN,NONE,False,,False,
OBS_000024,06:56:30,690.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.663862,77.402286,20.929,104.5,29.03,104.5,0.0,702.2,110,,277.22,SEC_NDLS_GZB,,NDLS,GZB,4.071,293.071,CRUISING,,,,,-10.96,,,GREEN,NONE,False,,False,
OBS_000025,06:57:00,720.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.664726,77.409883,21.8,104.5,29.03,104.5,0.0,702.2,110,,251.61,SEC_NDLS_GZB,,NDLS,GZB,3.2,292.2,CRUISING,,,,,-11.4,,,GREEN,NONE,False,,False,
OBS_000026,06:57:30,750.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.665589,77.41748,22.671,104.5,29.03,104.5,0.0,702.2,110,,223.08,SEC_NDLS_GZB,,NDLS,GZB,2.329,291.329,CRUISING,,,,,-11.83,,,GREEN,NONE,False,,False,
OBS_000027,06:58:00,780.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.666453,77.425078,23.542,104.5,29.03,104.5,0.0,702.2,110,,190.32,SEC_NDLS_GZB,,NDLS,GZB,1.458,290.458,CRUISING,,,,,-12.27,,,GREEN,NONE,False,,False,
OBS_000028,06:58:30,810.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.667317,77.432675,24.412,104.5,29.03,104.5,0.0,702.2,110,,150.6,SEC_NDLS_GZB,,NDLS,GZB,0.588,289.587,CRUISING,,,,,-12.7,,,GREEN,NONE,False,,False,
OBS_000029,06:59:00,840.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.667378,77.433205,24.473,39.7,11.03,95.59,-0.6,101.3,110,,95.59,SEC_NDLS_GZB,,NDLS,GZB,0.527,289.527,DECELERATING,,,,,-12.27,,,GREEN,NONE,False,,False,
OBS_000030,06:59:30,870.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25.0,0.0,0.0,90.5,0.0,0.0,110,,90.5,SEC_NDLS_GZB,GZB,GZB,MTC,47.0,289.0,DWELLING,ARRIVED,06:59:30,,,-12.33,-13.5,,GREEN,NONE,False,,False,
OBS_000031,07:00:00,900.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25.0,0.0,0.0,0.0,0.0,0.0,120,,0.0,,GZB,GZB,MTC,47.0,289.0,DWELLING,,,,,-11.83,,,GREEN,NONE,False,,False,
OBS_000032,07:00:30,930.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25.0,0.0,0.0,0.0,0.0,0.0,120,,0.0,,GZB,GZB,MTC,47.0,289.0,DWELLING,,,,,-11.33,,,GREEN,NONE,False,,False,
OBS_000033,07:01:00,960.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25.0,0.0,0.0,0.0,0.0,0.0,120,,0.0,,GZB,GZB,MTC,47.0,289.0,DWELLING,,,,,-10.83,,,GREEN,NONE,False,,False,
OBS_000034,07:01:30,990.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.6679,77.4378,25.675,54.0,15.0,114.0,0.5,187.5,120,,854.95,SEC_GZB_MTC,GZB,GZB,MTC,46.325,288.325,ACCELERATING,DEPARTED,,07:01:30,2,-11.06,,-13.5,GREEN,NONE,False,,False,
OBS_000035,07:02:00,1020.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.679853,77.447865,26.8,108.0,30.0,114.0,0.5,750.0,120,,848.79,SEC_GZB_MTC,,GZB,MTC,45.2,287.2,ACCELERATING,,,,,-11.76,,,GREEN,NONE,False,,False,
OBS_000036,07:02:30,1050.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.687655,77.454435,27.975,114.0,31.67,114.0,0.5,835.6,120,,838.42,SEC_GZB_MTC,,GZB,MTC,44.025,286.025,ACCELERATING,,,,,-12.52,,,GREEN,NONE,False,,False,
OBS_000037,07:03:00,1080.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.693964,77.459747,28.925,114.0,31.67,114.0,0.0,835.6,120,,827.45,SEC_GZB_MTC,,GZB,MTC,43.075,285.075,CRUISING,,,,,-13.04,,,GREEN,NONE,False,,False,
OBS_000038,07:03:30,1110.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.700272,77.465059,29.875,114.0,31.67,114.0,0.0,835.6,120,,818.48,SEC_GZB_MTC,,GZB,MTC,42.125,284.125,CRUISING,,,,,-13.56,,,GREEN,NONE,False,,False,
OBS_000039,07:04:00,1140.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.70658,77.47037,30.825,114.0,31.67,114.0,0.0,835.6,120,,809.4,SEC_GZB_MTC,,GZB,MTC,41.175,283.175,CRUISING,,,,,-14.08,,,GREEN,NONE,False,,False,
OBS_000040,07:04:30,1170.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.712889,77.475682,31.775,114.0,31.67,114.0,0.0,835.6,120,,800.22,SEC_GZB_MTC,,GZB,MTC,40.225,282.225,CRUISING,,,,,-14.6,,,GREEN,NONE,False,,False,
OBS_000041,07:05:00,1200.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.719197,77.480994,32.725,114.0,31.67,114.0,0.0,835.6,120,,790.94,SEC_GZB_MTC,,GZB,MTC,39.275,281.275,CRUISING,,,,,-15.12,,,GREEN,NONE,False,,False,
OBS_000042,07:05:30,1230.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.725506,77.486306,33.675,114.0,31.67,114.0,0.0,835.6,120,,781.54,SEC_GZB_MTC,,GZB,MTC,38.325,280.325,CRUISING,,,,,-15.64,,,GREEN,NONE,False,,False,
OBS_000043,07:06:00,1260.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.731814,77.491618,34.625,114.0,31.67,114.0,0.0,835.6,120,,772.03,SEC_GZB_MTC,,GZB,MTC,37.375,279.375,CRUISING,,,,,-16.16,,,GREEN,NONE,False,,False,
OBS_000044,07:06:30,1290.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.738122,77.49693,35.575,114.0,31.67,114.0,0.0,835.6,120,,762.4,SEC_GZB_MTC,,GZB,MTC,36.425,278.425,CRUISING,,,,,-16.68,,,GREEN,NONE,False,,False,
OBS_000045,07:07:00,1320.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.744431,77.502242,36.525,114.0,31.67,114.0,0.0,835.6,120,,752.65,SEC_GZB_MTC,,GZB,MTC,35.475,277.475,CRUISING,,,,,-17.2,,,GREEN,NONE,False,,False,
OBS_000046,07:07:30,1350.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.750739,77.507554,37.475,114.0,31.67,114.0,0.0,835.6,120,,742.77,SEC_GZB_MTC,,GZB,MTC,34.525,276.525,CRUISING,,,,,-17.72,,,GREEN,NONE,False,,False,
OBS_000047,07:08:00,1380.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.757048,77.512866,38.425,114.0,31.67,114.0,0.0,835.6,120,,732.76,SEC_GZB_MTC,,GZB,MTC,33.575,275.575,CRUISING,,,,,-18.24,,,GREEN,NONE,False,,False,
OBS_000048,07:08:30,1410.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.763356,77.518178,39.375,114.0,31.67,114.0,0.0,835.6,120,,722.61,SEC_GZB_MTC,,GZB,MTC,32.625,274.625,CRUISING,,,,,-18.76,,,GREEN,NONE,False,,False,
OBS_000049,07:09:00,1440.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.769665,77.52349,40.325,114.0,31.67,114.0,0.0,835.6,120,,712.31,SEC_GZB_MTC,,GZB,MTC,31.675,273.675,CRUISING,,,,,-19.28,,,GREEN,NONE,False,,False,
OBS_000050,07:09:30,1470.0,12017,ROUTE_NDLS_DDN_01,SYNTHETIC_SIMULATOR,OK,28.775973,77.528801,41.275,114.0,31.67,114.0,0.0,835.6,120,,701.86,SEC_GZB_MTC,,GZB,MTC,30.725,272.725,CRUISING,,,,,-19.8,,,GREEN,NONE,False,,False,
